rank,name,elo,bestWin,bestWinElo,GCs
500,Chain Reaction / Lincoln High School,1417,KHS Pops / Kearney High School,1488,0
501,Equinox / Gretna East High School,1416,N/A,-1,0
502,Cardinal Singers / Chadron High School,1415,N/A,-1,0
503,Elite / Homestead High School,1415,N/A,-1,0
504,Lumina / Keller High School,1414,N/A,-1,0
505,Sound Machine / Fort Worth Southwest High School,1414,N/A,-1,0
506,Divas / Tallassee High School,1414,N/A,-1,0
507,Runway / Ralston High School,1414,N/A,-1,0
508,Monarchy / Papillion-La Vista High School,1414,N/A,-1,0
509,Golden Blues / Tri County Jr/Sr High School,1414,N/A,-1,0
510,Harmonix / Hickman High School,1413,N/A,-1,0
511,Silver Streak / Fishers High School,1413,N/A,-1,0
512,Mixed Company / Prospect High School,1412,N/A,-1,0
513,CN CeNsation / Central Noble Jr/Sr High School,1412,N/A,-1,0
514,Sound / Oxford High School,1412,N/A,-1,0
515,Spotlight / Prattville High School,1412,N/A,-1,0
516,Rhapsody / Northwest Rankin High School,1410,N/A,-1,0
517,Pop Vox / Everett High School,1410,N/A,-1,0
518,Nothin' But Treble / Andover High School,1410,N/A,-1,0
519,Vocal Motion / Windsor Locks High School,1410,N/A,-1,0
520,Ignite / Mazzuchelli Catholic Middle School,1410,N/A,-1,0
521,Music Factory / Spirit Lake High School,1410,Momentum / Estherville Lincoln Central High School,1500,0
522,Expressions / Fairfield Jr/Sr High School,1410,N/A,-1,0
523,Knight Moves / Norwell High School,1410,N/A,-1,0
524,Harmony Gold / Walsh Jesuit High School,1409,N/A,-1,0
525,Vox / Paschal High School,1408,N/A,-1,0
526,Titanaires / Norris High School,1408,N/A,-1,0
527,Future Image / Grand Island Senior High School,1408,N/A,-1,0
528,City Lights / Iowa City High School,1408,N/A,-1,0
529,CenterStage / LaSalle-St. Joseph Middle School,1407,N/A,-1,0
530,Connection / Florence High School,1407,N/A,-1,0
531,Cliff Notes / Midlothian Heritage High School,1407,N/A,-1,0
532,The Shamrocks / Notre Dame High School,1407,N/A,-1,0
533,Debut / Mills E. Godwin High School,1407,N/A,-1,0
534,Tiger Momentum / Broken Arrow Freshman Academy,1407,N/A,-1,0
535,Knight Lights / Northwest High School,1407,N/A,-1,0
536,City Lights / Midlothian High School,1406,N/A,-1,0
537,Adrenaline / Taft Middle School,1405,N/A,-1,0
538,Kinetic Fusion / North Union High School,1405,N/A,-1,0
539,68th Street Singers / Norris High School,1405,N/A,-1,0
540,Jazz Girls / Montgomery High School,1405,N/A,-1,0
541,Renaissance / Cleveland High School,1405,N/A,-1,0
542,Northern Lights / Edmond North High School,1404,N/A,-1,0
543,Illusion / Shepherd Hill Regional High School,1404,N/A,-1,0
544,The Current / Waconia High School,1404,N/A,-1,0
545,Impact / Wahlert Catholic High School,1403,N/A,-1,0
546,GleeCVI / Guelph Collegiate Vocational Institute,1403,N/A,-1,0
547,Momentum / Estherville Lincoln Central High School,1403,N/A,-1,0
548,Premiere / Atlantic High School,1402,N/A,-1,0
549,Soundsation / Riverdale High School,1402,N/A,-1,0
550,Esprit / Wheaton Warrenville South High School,1402,N/A,-1,0
551,Pop Singers / Jefferson High School,1402,Radiance / Powhatan High School,1500,0
552,Drifters / Chesterton High School,1402,N/A,-1,0
553,Tiger Tones / Harrisburg High School,1401,N/A,-1,0
554,Melodic Fusion / Riverside High School,1401,N/A,-1,0
555,Heartbreakers / Sidney High School,1401,N/A,-1,0
556,Forefront / Harrisonville High School,1401,N/A,-1,0
557,Commotion / Oswego High School,1400,N/A,-1,0
558,Battalion / Battle High School,1400,N/A,-1,0
559,Revolution / Olentangy Orange High School,1399,N/A,-1,0
560,Union Station / Union High School,1399,N/A,-1,0
561,Northern Lights / Don Mills Collegiate Institute,1399,N/A,-1,0
562,Tiftosterone / Tift County High School,1399,N/A,-1,0
563,Tomcats / Nitro High School,1399,N/A,-1,0
564,Pantheon / Fossil Ridge High School,1399,N/A,-1,0
565,A Touch Of Class / Villa Duchesne and Oak Hill School,1397,N/A,-1,0
566,Encore / Waverly High School,1397,N/A,-1,0
567,Platinum / Platteview High School,1397,N/A,-1,0
568,Sapphire and Ice / Plattsmouth High School,1397,N/A,-1,0
569,New Edition / South Jones Jr/Sr High School,1397,N/A,-1,0
570,Homegrown Harmonies / Dundy County Stratton Jr/Sr High School,1396,N/A,-1,0
571,Infinity / Kimball Jr/Sr High School,1396,N/A,-1,0
572,Scarlet Harmony / Springfield High School,1396,N/A,-1,0
573,Charisma / Iowa City High School,1396,N/A,-1,0
574,Rhapsody / Aurora High School,1396,N/A,-1,0
575,Sugar & Spice / Neosho High School,1396,N/A,-1,0
576,Testostertones / Lexington High School,1396,N/A,-1,0
577,Vivace / West Salem High School,1396,N/A,-1,0
578,Music Unlimited / Whitehall-Yearling High School,1395,N/A,-1,0
579,Electric Blue / Quincy Senior High School,1395,N/A,-1,0
580,Choralaires / Scottsbluff High School,1395,N/A,-1,0
